index,group,bg,text,music,start,end
1,1,101,Gallery_Title_1,CG_Music_1,1411,1416
2,2,102,Gallery_Title_2,CG_Music_2,1752,1762
3,2,103,Gallery_Title_3,CG_Music_3,1763,1772
4,3,104,Gallery_Title_4,CG_Music_4,1871,1896
5,4,105,Gallery_Title_5,CG_Music_5,1897,1936
6,5,106,Gallery_Title_6,CG_Music_6,1937,1958
7,6,107,Gallery_Title_7,CG_Music_7,2520,2543
8,7,108,Gallery_Title_8,CG_Music_8,2600,2616
9,7,109,Gallery_Title_9,CG_Music_9,2617,2640
10,8,110,Gallery_Title_10,CG_Music_10,3101,3111
11,8,111,Gallery_Title_11,CG_Music_11,3112,3122
12,9,112,Gallery_Title_12,CG_Music_12,3176,3200
13,10,113,Gallery_Title_13,CG_Music_13,3576,3584
14,10,114,Gallery_Title_14,CG_Music_14,3585,3589
15,11,115,Gallery_Title_15,CG_Music_15,3590,3601
16,11,116,Gallery_Title_16,CG_Music_16,3602,3615
17,12,117,Gallery_Title_17,CG_Music_17,3910,3913
18,12,118,Gallery_Title_18,CG_Music_18,3914,3930
19,13,119,Gallery_Title_19,CG_Music_19,3985,4022
20,1,120,Gallery_Title_20,CG_Music_20,1417,1412
